day,discharged,deaths,total
22/01/2020,0,0,0
23/01/2020,0,0,1
24/01/2020,0,0,3
25/01/2020,0,0,3
26/01/2020,0,0,4
27/01/2020,0,0,5
28/01/2020,0,0,7
29/01/2020,0,0,7
30/01/2020,0,0,10
31/01/2020,0,0,13
01/02/2020,0,0,16
02/02/2020,0,0,18
03/02/2020,0,0,18
04/02/2020,0,0,24
05/02/2020,0,0,28
06/02/2020,0,0,28
07/02/2020,0,0,30
08/02/2020,2,0,33
09/02/2020,2,0,40
10/02/2020,2,0,45
11/02/2020,9,0,47
12/02/2020,15,0,50
13/02/2020,15,0,58
14/02/2020,17,0,67
15/02/2020,18,0,72
16/02/2020,18,0,75
17/02/2020,24,0,77
18/02/2020,29,0,81
19/02/2020,34,0,84
20/02/2020,34,0,84
21/02/2020,37,0,85
22/02/2020,37,0,85
23/02/2020,51,0,89
24/02/2020,51,0,89
25/02/2020,53,0,91
26/02/2020,62,0,93
27/02/2020,62,0,93
28/02/2020,62,0,93
29/02/2020,72,0,102
01/03/2020,72,0,106
02/03/2020,78,0,108
03/03/2020,78,0,110
04/03/2020,78,0,110
05/03/2020,78,0,117
06/03/2020,78,0,130
07/03/2020,78,0,138
08/03/2020,78,0,150
09/03/2020,78,0,150
10/03/2020,78,0,160
11/03/2020,96,0,178
12/03/2020,96,0,178
13/03/2020,97,0,200
14/03/2020,105,0,212
15/03/2020,105,0,226
16/03/2020,109,0,243
17/03/2020,114,0,266
18/03/2020,114,0,313
19/03/2020,114,0,345
20/03/2020,124,0,385
21/03/2020,140,2,432
22/03/2020,144,2,455
23/03/2020,144,2,509
24/03/2020,156,2,558
25/03/2020,160,2,631
26/03/2020,172,2,683
27/03/2020,183,2,732
28/03/2020,198,2,802
29/03/2020,212,3,844
30/03/2020,228,3,879
31/03/2020,240,3,926
01/04/2020,245,3,1000
02/04/2020,266,4,1049
03/04/2020,282,5,1114
04/04/2020,297,6,1189
05/04/2020,320,6,1309
06/04/2020,344,6,1375
07/04/2020,377,6,1481
08/04/2020,406,6,1623
09/04/2020,460,6,1910
10/04/2020,492,7,2108
11/04/2020,528,8,2299
12/04/2020,560,8,2532
13/04/2020,586,9,2918
14/04/2020,611,10,3252
15/04/2020,652,10,3699
16/04/2020,683,10,4427
17/04/2020,708,11,5050
18/04/2020,740,11,5992
19/04/2020,768,11,6588
20/04/2020,801,11,8014
21/04/2020,839,11,9125
22/04/2020,896,12,10141
23/04/2020,924,12,11178
24/04/2020,956,12,12075
25/04/2020,1002,12,12693
26/04/2020,1060,12,13624
27/04/2020,1095,14,14423
28/04/2020,1128,14,14951
29/04/2020,1188,14,15641
30/04/2020,1244,15,16169
01/05/2020,1268,16,17101
02/05/2020,1347,17,17548
03/05/2020,1408,18,18205
04/05/2020,1457,18,18778
05/05/2020,1519,18,19410
06/05/2020,1634,20,20198
07/05/2020,1712,20,20939
08/05/2020,2040,20,21707
09/05/2020,2296,20,22460
10/05/2020,2721,20,23336
11/05/2020,3225,21,23822
12/05/2020,3851,21,24671
13/05/2020,4809,21,25346
14/05/2020,5973,21,26098
15/05/2020,7248,21,26891
16/05/2020,8342,22,27356
17/05/2020,9340,22,28038
18/05/2020,9835,22,28343
19/05/2020,10365,22,28794
20/05/2020,11207,22,29364
21/05/2020,12117,23,29812
22/05/2020,12995,23,30426
23/05/2020,13882,23,31068
24/05/2020,14876,23,31616
25/05/2020,15738,23,31960
26/05/2020,16444,23,32343
27/05/2020,17276,23,32876
28/05/2020,18294,23,33249
29/05/2020,19631,23,33860
30/05/2020,20727,23,34366
31/05/2020,21699,23,34884
01/06/2020,22466,24,35292
02/06/2020,23175,24,35836
03/06/2020,23582,24,36405
04/06/2020,23904,24,36922
05/06/2020,24209,24,37183
06/06/2020,24559,25,37527
07/06/2020,24886,25,37910
08/06/2020,25368,25,38296
09/06/2020,25877,25,38514
10/06/2020,26532,25,38965
11/06/2020,27286,25,39387
12/06/2020,28040,25,39850
13/06/2020,28808,26,40197
14/06/2020,29589,26,40604
15/06/2020,30366,26,40818
16/06/2020,31163,26,40969
17/06/2020,31938,26,41216
18/06/2020,32712,26,41473
19/06/2020,33459,26,41615
20/06/2020,34224,26,41833
21/06/2020,34942,26,42095
22/06/2020,35590,26,42313
23/06/2020,35995,26,42432
24/06/2020,36299,26,42623
25/06/2020,36604,26,42736
26/06/2020,36825,26,42955
27/06/2020,37163,26,43246
28/06/2020,37508,26,43459
29/06/2020,37985,26,43661
30/06/2020,38500,26,43907
01/07/2020,39011,26,44122
02/07/2020,39429,26,44310
03/07/2020,39769,26,44479
04/07/2020,40117,26,44664
05/07/2020,40441,26,44800
06/07/2020,40717,26,44983
07/07/2020,41002,26,45140
08/07/2020,41323,26,45298
09/07/2020,41645,26,45423
10/07/2020,41780,26,45614
